id,titulo,mpa,genero,duracion,fecha_estreno,productora,ingresos,presupuesto,voto_promedio,cantidad_votos,popularidad,director,genero_director
tt0120630,Chicken Run,G,Animation,84,2000-06-23,Aardman,224834564,45000000,6.798,4743,54.313,Nick Park,Masculino
tt0190865,Vertical Limit,PG-13,Adventure,124,2000-12-08,Global Medien KG,215663859,75000000,6.002,967,32.05,Martin Campbell,Masculino
tt0187393,The Patriot,R,Drama,165,2000-06-28,Columbia Pictures,215294342,110000000,7.177,3672,62.155,Roland Emmerich,Masculino
tt0212346,Miss Congeniality,PG-13,Comedy,111,2000-12-22,Village Roadshow Pictures,212000000,45000000,6.524,3686,30.365,Donald Petrie,Masculino
tt0181865,Traffic,R,Thriller,147,2000-12-27,USA Films,207500000,48000000,7.047,2001,24.701,Steven Soderbergh,Masculino
tt0164052,Hollow Man,NA,Action,112,2000-08-04,Columbia Pictures,190213455,95000000,5.9,2369,35.716,Paul Verhoeven,Masculino
tt0211181,102 Dalmatians,G,Family,100,2000-10-07,Walt Disney Pictures,183611771,85000000,5.476,1288,28.099,Kevin Lima,Masculino
tt0208003,Big Momma's House,PG-13,Crime,98,2000-05-31,Regency Enterprises,174000000,30000000,5.798,2181,27.277,Raja Gosnell,Masculino
tt0120917,The Emperor's New Groove,G,Adventure,78,2000-12-15,Walt Disney Pictures,169327687,100000000,7.551,6304,94.393,Mark Dindal,Masculino
tt0144528,Nutty Professor II: The Klumps,PG-13,Fantasy,106,2000-07-27,Universal Pictures,123307945,84000000,4.978,1230,19.831,Peter Segal,Masculino
tt0134084,Scream 3,R,Horror,117,2000-02-04,Dimension Films,161800000,40000000,6,3333,38.919,Wes Craven,Masculino
tt0241303,Chocolat,PG-13,Comedy,121,2000-12-22,Fat Free,152500000,25000000,6.968,3126,21.26,Lasse Hallström,Masculino
tt0183505,"Me, Myself & Irene",R,Comedy,116,2000-06-22,Conundrum Entertainment,149270999,51000000,6.6,3616,30.15,Bobby Farrelly,Masculino
tt0163978,The Beach,R,Drama,119,2000-02-03,Figment Films,144100000,40000000,6.465,4148,34.803,Danny Boyle,Masculino
